Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-05-16-0003,2016-06-20,Demolition Control,101 WURTEMBURG Street,Agreement Signed,Post Approval,Douglas James,"The application for demolition control proposes to demolish an existing, unoccupied two-storey residential dwelling at 101 Wurtemburg Street.",2016-09-26 15:21,Ward 12,RIDEAU-VANIER,
D07-04-16-0001,2016-01-28,Plan of Condominium,1880 TRIM Road,Agreement Registered - Securities Held,Post Approval,Evode Rwagasore,"Application to develop the site with a Planned Unit Development (PUD) consisting of 28 townhouse dwelling units distributed with six buildings. Vehicular access to the site will be provided by means of a private street extending off of Valin Street. This internal road is intended to function as part of a Common Elements Condominium. The townhomes in this development are intended to be sold as freehold units. The units will be two storeys in height, although some bungalows units have been introduced within the development as well.",2017-12-14 15:25,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-05-15-0008,2015-12-14,Demolition Control,163 PARKDALE Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Tracey Scaramozzino,"An application for Demolition Control for the property located at 163-167 Parkdale Avenue. The site is currently occupied by two vacant residential and commercial buildings. The total site area is approximately 1,373.6 square metres.",2018-09-25 09:49,Ward 15,KITCHISSIPPI,
D07-05-15-0008,2015-12-14,Demolition Control,167 PARKDALE Avenue,Agreement Registered - Final Legal Clearance Given,Post Approval,Tracey Scaramozzino,"An application for Demolition Control for the property located at 163-167 Parkdale Avenue. The site is currently occupied by two vacant residential and commercial buildings. The total site area is approximately 1,373.6 square metres.",2018-09-25 09:49,Ward 15,KITCHISSIPPI,
D07-12-15-0205,2015-12-29,Site Plan Control,3020 HAWTHORNE Road,Receipt of Agreement from Owner Pending,Post Approval,Melissa Jort-Conway,The City of Ottawa has received a Site Plan application to add 2 single-storey multi-tenanted light industrial buildings to the existing developed site.,2016-11-23 09:33,Ward 10,GLOUCESTER-SOUTHGATE,
D07-16-15-0015,2015-12-30,Plan of Subdivision,1626 OLD PRESCOTT Road,Application File Pending,File Pending,Cheryl Mcwilliams,"The proposed plan of subdivision comprises phase 2 of a draft approved subdivision (Lakeland Meadows Phase I).  Lakeland Meadows Phase I is made up of 34 residential lots averaging 0.3 hectares in lot size, and serviced through private on-site water (well) and wastewater (septic).  Phase II differs from Phase I in that the servicing is proposed to be provided through an existing communal water and wastewater system within the adjacent subdivision lands to the immediate south (Shadow Ridge).",2016-03-17 09:48,Ward 20,OSGOODE,
D07-12-16-0002,2016-01-04,Site Plan Control,774 BRONSON Avenue,Application File Pending,File Pending,Steve Gauthier,12-storey mixed-use building for university students and retail at grade.,2017-12-31 15:52,Ward 17,CAPITAL,
D07-12-16-0002,2016-01-04,Site Plan Control,557 CAMBRIDGE Street,Application File Pending,File Pending,Steve Gauthier,12-storey mixed-use building for university students and retail at grade.,2017-12-31 15:52,Ward 17,CAPITAL,
D07-04-16-0002,2016-02-09,Plan of Condominium,3368 CARLING Avenue,Application File Pending,File Pending,Samantha Gatchene,"15 residential, mcondo units, within a new 3 storey apt building",2016-05-06 15:44,Ward 7,BAY,
D07-16-16-0003,2016-02-23,Plan of Subdivision,3315 SHEA Road,Agreement Registered - Securities Held,Post Approval,Sarah Mccormick,54 single detached lot subdivision on a new public street,2019-03-20 15:22,Ward 21,RIDEAU-JOCK,
D07-12-16-0029,2016-03-02,Site Plan Control,64 CLEOPATRA Drive,Application Approved,Post Approval,Colette Gorni,The applicant wishes to add a 1 storey addition to an existing building to be used for office and industrial storage.,2023-05-09 14:04,Ward 9,KNOXDALE-MERIVALE,
D07-12-16-0045,2016-04-12,Site Plan Control,261 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,261 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
D07-12-16-0045,2016-04-12,Site Plan Control,261 KING EDWARD Avenue,Application File Pending,File Pending,Erin O'Connell,"Part of Lots B and 7 North Clarence Street (formerly Parry Street) on Registered Plan 43586, in the City of Ottawa.  The site is currently vacant.",2016-06-14 11:45,Ward 12,RIDEAU-VANIER,
