ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,Sq Ft,PERMIT#,APPL. TYPE,ISSUED DATE
1355,BANK ST ,K1H8K7,Ward 18,,pt lot 18,ALTI CONSTRUCTION LTD,Mixed,Old Ottawa,Repairs to the underground parking garage of a 7 storey mixed use building,0,266000,0,1600001,Construction,2016-01-04 9:15
1105,MARCH RD ,K2K1X7,Ward 5,3,13 14,NRB INC,Institutional,Kanata,Construct 1 new portable classroom onsite (St. Isidore Catholic School),0,77940,768,1600002,Construction,2016-01-04 10:29
14,NAIRN ST ,K2V1B6,Ward 23,4M-1081,25,PROTECTIVE PLUMBING CANADA,Single,Kanata,PLUMBING ONLY- Install a Protective Plumbing Device on the building drain,0,0,0,1600004,Construction,2016-01-04 11:39
107,MELANIE CRES ,K2L2E4,Ward 23,M220,1311,PROTECTIVE PLUMBING CANADA,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1600005,Construction,2016-01-04 11:47
20,COLONNADE RD ,K2E7M6,Ward 9,,30,GRAEBECK CONSTRUCTION LTD.,Office,Nepean,Interior alterations on the 1st floor of a 2 storey office building,0,80468,2841.67,1600006,Construction,2016-01-04 11:51
249,TRAILGATE ST ,K1V0Z9,Ward 22,4M1349,54,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 60-10 2010 2A,1,558455,3757,1600007,Construction,2016-01-04 11:54
775,EASTBOURNE AVE ,K1K0H8,Ward 13,M85,329,PROTECTIVE PLUMBING CANADA,Single,Old Ottawa,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1600008,Construction,2016-01-04 11:56
100,BAYSHORE DR ,K2B8C1,Ward 7,465465,17,PLUM CORPORATION,Retail,Nepean,"Interior alterations to the 1st floor of a 3 storey shopping centre (Bayshore Shopping Centre, Showcase, Unit A43)",0,19360,968,1600009,Construction,2016-01-04 12:02
1175,CASTLE HILL CRES ,K2C2B1,Ward 8,330976,526 527,JEFF HAYES CONTRACTING,Single,Old Ottawa,Interior alterations in the basement of a 1 storey detached dwelling,0,33000,500,1600010,Construction,2016-01-04 12:50
170,LAURIER AVE W,K1P5V5,Ward 14,4556,50 & 51,GLENVIEW CONSTRUCTION LIMITED,Office,Old Ottawa,Tenant fit-up on the 2nd floor of a 14 storey office building (PWGSC),0,424000,8095,1600011,Construction,2016-01-04 13:55
4420,GOLDENEYE WAY ,K1V2J3,Ward 22,4M-1243,,HONEY CONSTRUCTION LTD,Rowhouse,Gloucester,Repair/replace damaged roof section of a 2 storey rowhouse dwelling,0,20000,0,1600012,Construction,2016-01-04 14:23
215,ESCARPMENT CRES ,K2T0L6,Ward 4,,73,CARDEL HOMES INC. OTTAWA DIVISION,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Ovation 2 R7,1,436852,2939,1600013,Construction,2016-01-04 14:27
1514,MERIVALE RD ,K2G3J6,Ward 8,375,34 35,CON-WELL CONSTRUCTION & RENOVATION INC.,Retail,Nepean,Tenant fit-up to a 2 storey retail building and construction of an exterior exit stair (Little Sheep Mongolian Hot Pot - City View Plaza - Unit 14),0,300000,5489.77,1600014,Construction,2016-01-04 15:29
1514,MERIVALE RD ,K2G3J6,Ward 8,375,34 35,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up to a 2 storey retail building and construction of an exterior exit stair (Little Sheep Mongolian Hot Pot - City View Plaza - Unit 14),0,300000,5489.77,1600014,Construction,2016-01-04 15:29
517,KILSPINDIE RIDGE ,,Ward 22,4M-1518,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Unit B 2014,Unit E 2014,Unit E 2014,Unit B 2014",4,753380,6758,1600015,Construction,2016-01-04 16:11
519,KILSPINDIE RIDGE ,K2J6A2,Ward 22,4M-1518,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Unit B 2014,Unit E 2014,Unit E 2014,Unit B 2014",4,753380,6758,1600015,Construction,2016-01-04 16:11
521,KILSPINDIE RIDGE ,,Ward 22,4M-1518,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Unit B 2014,Unit E 2014,Unit E 2014,Unit B 2014",4,753380,6758,1600015,Construction,2016-01-04 16:11
523,KILSPINDIE RIDGE ,,Ward 22,4M-1518,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Unit B 2014,Unit E 2014,Unit E 2014,Unit B 2014",4,753380,6758,1600015,Construction,2016-01-04 16:11
106,LOCHHOUSE WALK ,K2J6A3,Ward 22,4M-1518,35,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Nepean,Construct a 1 Storey Single with attached garage  Model: 2600A Bancroft 2015,1,417678,2810,1600016,Construction,2016-01-05 8:38
228,ESCARPMENT CRES ,K2T0L6,Ward 4,,50,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 3200A The Windermere 2013 A,1,474310,3191,1600017,Construction,2016-01-05 9:33
513,BRECCIA HTS ,K2T0L6,Ward 4,,90,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 2200A Griffith 2015 Standard,1,335926,2260,1600018,Construction,2016-01-05 9:46
10,KETTLEWELL WAY ,K2W1G3,Ward 4,4M- 1154,283,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 1 storey detached dwelling,0,41990.8,1130,1600019,Construction,2016-01-05 9:50
203,ESCARPMENT CRES ,K2T0L7,Ward 4,,79,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 2900C Harris 2015,1,431650,2904,1600020,Construction,2016-01-05 9:56
161,ESCARPMENT CRES ,K2T0L9,Ward 4,,104,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 2600B Addington 2013 A,1,327453,2203,1600021,Construction,2016-01-05 10:08
334,DEVONIAN WAY ,K2T0L5,Ward 4,,137,UNIFORM URBAN DEVELOPMENTS LTD.,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 2400C Locksley 2013 Alt,1,241837,1627,1600022,Construction,2016-01-05 10:12
7786,SNAKE ISLAND RD ,K0A2P0,Ward 20,,21,***CONTRACTOR***,Single,Osgoode,Alterations to extend walls to 6' on a detached garage,0,6000,625,1600023,Construction,2016-01-05 10:13
365,LAURIER AVE W,K1A0X6,Ward 14,3922,27-30,RON ENG. AND CONST. (EASTERN) LTD.,Office,Old Ottawa,"Interior alterations on the 2nd, 9th and 10th floor of a 20 storey office building",0,1000000,36006.46,1600025,Construction,2016-01-05 10:38
595,INDUSTRIAL AVE ,K1G0Z1,Ward 18,560,21 TO 27,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up in a 1 storey retail building (DSW - Designer Shoes Warehouse),0,731176.14,19676.43,1600026,Construction,2016-01-05 10:58
