ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
40  ,RUSKIN ST ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 2nd floor of a 6 storey institutional building (Ottawa Heart Institute),0.0,812506.0,100.0,2300001.0,Construction,2023-01-03 08:59:19
2000  ,MERIVALE RD ,K2G1G6,Ward 9,4M-,25,CONTRACTOR UNKNOWN,Institutional,Nepean,Exterior/interior alterations to a 1 storey institutional building (St Monica Catholic School),0.0,500000.0,11248.29,2300002.0,Construction,2023-01-03 09:21:39
307 B ,AMIENS ST ,,Ward 1,25,80,"MCCROSTE, BRIAN",Single,Cumberland,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement) and remove and replace exterior basement entrance (rear yard),1.0,25000.0,740.0,2300003.0,Construction,2023-01-03 09:40:24
307  ,AMIENS ST ,K1E1N3,Ward 1,25,80,"MCCROSTE, BRIAN",Single,Cumberland,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement) and remove and replace exterior basement entrance (rear yard),1.0,25000.0,740.0,2300003.0,Construction,2023-01-03 09:40:24
174  ,MEADOWLANDS DR W,K2G2S6,Ward 8,348978,16,CRAWFORD SHEDS,Detached Garage/Shed,Nepean,Construct a detached garage (replace due to windstorm),0.0,30000.0,600.0,2300004.0,Construction,2023-01-03 09:40:29
50  ,RIDEAU ST ,K1N5W8,Ward 12,3922,1 to 10,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up on the 3rd floor of a 4 storey retail building (Rideau Centre, Nike Unit 239)",0.0,547840.0,6673.0,2300005.0,Construction,2023-01-03 09:57:10
1408  ,LAURIN CRES ,K1E3H1,Ward 1,50M-88,8,CONTRACTOR UNKNOWN,Single,Cumberland,Interior alterations in the basement of a 2 storey detached dwelling,0.0,9000.0,322.90000000000003,2300006.0,Construction,2023-01-03 10:17:21
1456  ,CARRONBRIDGE CIR ,K2M0G6,Ward 23,4M-1383,,***CONTRACTOR***,Rowhouse,Kanata,Finish the basement in a 2 storey rowhouse,0.0,33179.58,714.0,2300007.0,Construction,2023-01-03 10:56:24
50  ,RIDEAU ST ,K1N5W8,Ward 12,,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations on the 3rd floor of a 3 storey retail building (CF Rideau Centre, Unit # 374A, L'Occitane)",0.0,115000.0,812.67,2300009.0,Construction,2023-01-03 11:36:51
126  ,YORK ST ,K1N5T5,Ward 12,42482,21 - 23,CONTRACT FURNITURE SOURCE INC.,Apartment,Old Ottawa,EXCAVATION AND SHORING: Construct a 22 storey apartment building,0.0,0.0,0.0,2300010.0,Construction,2023-01-03 12:57:57
151  ,GEORGE ST ,K1N5T5,Ward 12,42482,21 - 23,CONTRACT FURNITURE SOURCE INC.,Apartment,Old Ottawa,EXCAVATION AND SHORING: Construct a 22 storey apartment building,0.0,0.0,0.0,2300010.0,Construction,2023-01-03 12:57:57
5  ,REGAL CRES ,K0A2Z0,Ward 21,4M-784,64,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations to a 1 storey detached dwelling,0.0,15000.0,53.82,2300012.0,Construction,2023-01-03 14:08:28
2571  ,LANCASTER RD ,K1B4L5,Ward 18,,25,"CHANDOS CONSTRUCTION, OTTAWA",Industrial,Old Ottawa,Construct a 1 storey industrial building (open air storage bldg),0.0,708231.18,6350.71,2300013.0,Construction,2023-01-03 14:08:53
60  ,PALOMINO DR ,K2M1M2,Ward 23,4M-513,,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0.0,28114.35,605.0,2300014.0,Construction,2023-01-03 14:22:35
2571  ,LANCASTER RD ,K1B4L5,Ward 18,4M-,,"CHANDOS CONSTRUCTION, OTTAWA",Industrial,Old Ottawa,Construct a 1 storey industrial building (snow clearing platform),0.0,32627.41,292.57,2300015.0,Construction,2023-01-03 14:24:34
661  ,BIRCHLAND CRES ,K2S0S9,Ward 6,4M-1447,81,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0.0,11710.44,252.0,2300016.0,Construction,2023-01-03 14:29:24
66  ,HUNTSMAN CRES ,K2M1C4,Ward 23,M-183,220,CONTRACTOR UNKNOWN,Single,Kanata,Install a wood insert in a 2 storey detached dwelling,0.0,6000.0,0.0,2300017.0,Construction,2023-01-03 15:10:08
7  ,FURLONG CRES ,K2M2J1,Ward 23,4M-783,,CONTRACTOR UNKNOWN,Rowhouse,Kanata,Finish basement to a 2 storey rowhouse,0.0,28393.17,611.0,2300018.0,Construction,2023-01-03 15:19:42
40  ,RUSKIN ST ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations to a 5 storey institutional building (University of Ottawa, Heart Institute)",0.0,500000.0,1506.95,2300019.0,Construction,2023-01-03 15:31:52
5915  ,PERTH ST ,K0A2Z0,Ward 21,4M-,,CONTRACTOR UNKNOWN,Retail,Goulbourn,Interior alterations in a 1 storey retail building (Tim Hortons),0.0,340000.0,1700.7,2300020.0,Construction,2023-01-04 09:02:40
1  ,ANTARES DR ,K2E8C4,Ward 9,4M-,27,CONTRACTOR UNKNOWN,Office,Nepean,"Interior alterations on the 2nd, 3rd and 5th floor of a 5 storey office building",0.0,148272.0,3692.02,2300021.0,Construction,2023-01-04 09:17:29
25  ,CREMONA CRES ,K2G0Z9,Ward 9,4M-,86,***CONTRACTOR***,Single,Nepean,Construct an attached garage on a 1 storey detached dwelling,1.0,25000.0,600.0,2300022.0,Construction,2023-01-04 09:42:02
246  ,BYRON AVE ,K1Z6Y8,Ward 15,397,41-42,REVAL CONSTRUCTION INC.,Detached Garage/Shed,Old Ottawa,Construct a detached garage (rear yard),0.0,75000.0,510.0,2300023.0,Construction,2023-01-04 09:47:29
34  ,LIPSTAN AVE ,K2E5Z3,Ward 9,310509,68,JMS CUSTOM RENOVATIONS,Single,Nepean,Interior alterations in a 1 storey detached dwelling,0.0,40000.0,0.0,2300024.0,Construction,2023-01-04 09:52:37
22  ,SHIREGREEN DR ,K2J3N4,Ward 3,4M-602,,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0.0,8500.0,0.0,2300026.0,Construction,2023-01-04 10:00:10
16  ,TYRRELL PL ,K2H9C2,Ward 8,4M-385,5-6,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0.0,15000.0,0.0,2300027.0,Construction,2023-01-04 10:04:39
174  ,RUSSELL AVE ,K1N7X4,Ward 12,81868,27,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition (rear yard) to a 3 storey semi-detached dwelling with a secondary dwelling unit,1.0,241631.0,1300.0,2300028.0,Construction,2023-01-04 10:07:12
2618  ,"ST-JOSEPH, BOUL  ",K1C1G3,Ward 2,86,"26, PT LOT 27",PREMIERE CONSTRUCTION LTD,Office,Gloucester,Interior alterations in a 2 storey office building (Building B),0.0,60000.0,1259.38,2300029.0,Construction,2023-01-04 10:32:57
5921  ,PERTH ST ,K0A2Z0,Ward 21,4M-,,CONTRACTOR UNKNOWN,Retail,Goulbourn,"Tenant fit-up to a 1 storey retail building (Unit CRUB52, Shinybud)",0.0,60000.0,1399.31,2300030.0,Construction,2023-01-04 10:33:54
172  ,RUSSELL AVE ,K1N7X4,Ward 12,81868,27,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition (rear yard) to a 3 storey semi-detached dwelling,0.0,239772.3,1290.0,2300031.0,Construction,2023-01-04 10:46:15
110  ,MORTON DR ,K2L1X3,Ward 23,896,1101,LAURA HANDS DESIGN,Detached Garage/Shed,Kanata,Construct a detached garage (rear yard),0.0,35000.0,400.0,2300032.0,Construction,2023-01-04 11:08:16
1698  ,KINGSDALE AVE ,K1T1H6,Ward 10,326,667-668,CONTRACTOR UNKNOWN,Single,Gloucester,Exterior alterations to a 2 storey detached dwelling (Construct covered exterior basement stairs),0.0,20000.0,75.0,2300033.0,Construction,2023-01-04 11:27:43
2607  ,RIVER MIST RD ,K2J6W2,Ward 3,4M-,,CONTRACTOR UNKNOWN,Single,Nepean,Finish the basement in a 3 storey detached dwelling,0.0,13000.0,577.0,2300034.0,Construction,2023-01-04 12:33:06
